Key	English	Welsh	Comments
dashboard.your-tax-credits.renewal-status.p1.FINALISED	You will get an award notice in the next 2 weeks.		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.amounPaid.value	{0} {1}		No Welsh translation found
page.tcs.workandhours.startajobemployed.totalWeeklyHours.error	Enter how many hours you worked in a week in all jobs including self-employment (between 1 and 99)		No Welsh translation found
page.tcs.children.add-a-child.confirm-answers.start-date	When did or will {0} start the course?		No Welsh translation found
page.tcs.personal.change_relationship_status.single.title	Do you live with your partner?		No Welsh translation found
every_four_weeks	Every 4 weeks		No Welsh translation found
page.tcs.personal.changeUKAddress.type-your-address	type in your address		No Welsh translation found
dashboard.viewchangedetails.you.phone.empty	No telephone numbers given		No Welsh translation found
page.tcs.children.removeachild.lastname.invalidLength	Last name must be 35 characters or less		No Welsh translation found
page.tcs.workandhours.deductions.maternityAmount.helptext1	You can take off up to &pound;100 a week.		No Welsh translation found
page.tcs.personal.change_telephone_number.daytime_telephone_number	Telephone number 1		No Welsh translation found
page.tcs.childcare.short.term.calculation.summary.table1	When you did or will start paying {0}		No Welsh translation found
page.tcs.workandhours.amendajob.totalNumberOfJobs.error	Total number of jobs must be a whole number between 1 and 9		No Welsh translation found
page.tcs.children.add-a-child.duplicate.active.helpline	{0} if you want to add a child to your claim who has the same date of birth.		No Welsh translation found
page.tcs.addchildcare.childcare-how-much-you-pay-different.h1	How much do you pay {0} when you do not pay them {1} {2}?		No Welsh translation found
page.tcs.workandhours.startajobemployed.addressline.help	(Maximum 35 characters)		No Welsh translation found
page.tcs.children.removeachild.datechildleft.hint	For example, 31 10 2014		No Welsh translation found
page.tcs.does-child-get-benefits.li4	tax credits		No Welsh translation found
page.tcs.childcare.confirm-your-answers.how-much-do-you-normally-pay	How much do you normally pay {0} {1}?		No Welsh translation found
page.tcs.workandhours.endedajob.jobEndDate.futureDate	Enter a date that is today or in the past		No Welsh translation found
dashboard.viewchangedetails.you.other.prison.link	Sent to prison		No Welsh translation found
page.tcs.workandhours.employed-summary.partner.total-deductions.vh	if you need to take any of these deductions off {0}’s total estimated earnings for the tax year		No Welsh translation found
page.tcs.workandhours.earnings_calculator.partner.amountPaid.hint	Do not take off tax or National Insurance.		No Welsh translation found
page.tcs.start.p1	Use this service to check who is on your claim, how much your next payment is or when you will be paid.		No Welsh translation found
page.tcs.workandhours.startjobdate.partner.employmentagency	If they started work for an employment agency, enter the date they started paid work, not the date they registered with the agency.		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.partner.hintText	Amount before tax and National Insurance is taken off.		No Welsh translation found
page.tcs.children.add-a-child.ineligible.resident-p2	 You can only add a child to your claim if they normally live with you or they live with someone else and you are their main carer.		No Welsh translation found
page.tcs.workandhours.deductions.service_header	Do you need to take any of these deductions off your total estimated earnings for the tax year?		No Welsh translation found
dashboard.viewchangedetails.bank_details.info_box	You will need to provide your current bank account details. This is for your security to prevent someone else from changing your payments.		No Welsh translation found
page.tcs.children.educationandtraining.firstname	What are their first and middle names?		No Welsh translation found
page.tcs.workandhours.deductions.partner.giftAid	Gift aid donations		No Welsh translation found
page.tcs.childcare.remove.provider.date.error-empty	Enter the date you stopped using this provider		No Welsh translation found
page.tcs.personal.change_relationship_status.single.statusChanged.error	 Select yes if you have started to live with a partner		No Welsh translation found
page.tcs.children.add-a-child.ringus.intend_to_stay_school.button	Go back to children and childcare		No Welsh translation found
page.tcs.personal.change_relationship_end_single_claim.title	Because you live with your partner you must change your relationship status		No Welsh translation found
page.tcs.workandhours.changeemployedearnings.employedearnings.help	Do not take off tax and National Insurance contributions.		No Welsh translation found
page.tcs.renewals.changes_other.started.li5	Disability Living Allowance – tell us if you get the highest rate from the care component		No Welsh translation found
page.tcs.workandhours.previousworkenddate.afterStartOfCurrentTaxYear	End date must be {0} or after		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.previous.partner.hoursWorked.value	{0}		No Welsh translation found
dashboard.viewchangedetails.partner.employment.changejob	Change {0}’s job		No Welsh translation found
page.tcs.childcare.changechildcare.weekly-calculation.how-many-times	How many times a year you pay {0} {1}		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.typeOfWork.invalid	Your entry for type of work can only include European characters		No Welsh translation found
page.tcs.addchildcare.ineligible-ended-over-a-month-ago.title-bar	You cannot add the childcare provider to your claim		No Welsh translation found
page.children.cannot-change.li3	has never been certified blind		No Welsh translation found
page.tcs.fallout.iv-identity-failure-dropout.title	Unable to confirm identity		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p3.COMPLETE	You can complete any of your declarations again until<br/> <span class="no-break">31 July {0}</span>, if you think you have made a mistake.		No Welsh translation found
page.tcs.personal.enter.address.line	Enter address line {0}		No Welsh translation found
page.tcs.workandhours.changenumberofjobs.partner.service_title	Change number of jobs		No Welsh translation found
page.tcs.workandhours.previous_typeofwork.radioSelfEmployed	<span class="one-liner">Self-employed</span>		No Welsh translation found
page.tcs.partner-details.nino.help	For example, QQ 12 34 56 C		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare-incapacitated.line2	in hospital		No Welsh translation found
dashboard.viewchangedetails.jobsandincome.selfemployedprofit.edit	Change {0}’s self-employed profit		No Welsh translation found
dashboard.account-summary.view.accessable.children	children’s		No Welsh translation found
page.tcs.addchildcare.childcare-do-you-pay-own-money.error-empty	Select yes if you pay the childcare provider with your own money		No Welsh translation found
page.tcs.children.changeachildname-edit	Edit		No Welsh translation found
page.tcs.children.add-a-child.did_child_intend_to_stay.education.header	Did {0} intend to stay in education or training after leaving school?		No Welsh translation found
page.tcs.children.add-a-child.education-training-careers.child-left-school-li1	started or stopped approved education or training		No Welsh translation found
page.tcs.workandhours.changejobs.whatdoyouneedtodo.partner.link3	Change {0}’s self-employed profit		No Welsh translation found
page.tcs.children.add-a-child.ringus.registered_with_connexions.p2	<a href="https://www.gov.uk/government/organisations/hm-revenue-customs/contact/tax-credits-enquiries" target="_blank">Call the Tax Credit Helpline (opens in a new window or tab)</a> to add {0} to your claim.		No Welsh translation found
page.tcs.addchildcare.provider.address.line1.invalidLength	Address line 1 must be 35 characters or less		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.hintText	Amount before tax and National Insurance is taken off.		No Welsh translation found
page.tcs.wtc.ctc-payments.your-tax-credits-payment.ftnae.sept.p1	We are currently working out your tax credits payments because of your child’s education or training.		No Welsh translation found
page.tcs.workandhours.deductions.calculatedAmount	For this tax year take off		No Welsh translation found
page.tcs.workandhours.startajobemployed.partner.employerAddress	What was your partner’s employer’s address?		No Welsh translation found
page.tcs.children.add-a-child.does-child-do-approved-training.li3	Training for Success, Pathways to Success, and Collaboration and Innovation Programme in Northern Ireland		No Welsh translation found
page.tcs.workandhours.stillhaveajob.self-employed.partner.error.notselected	Select yes if {0} is still self-employed		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.li3	number of hours usually worked each week		No Welsh translation found
page.tcs.addchildcare.childcare-how-many-times-a-year-do-you-pay.h1	How many times a year do you pay {0} {1}?		No Welsh translation found
page.tcs.childcare.confirm-your-answers.how-much-of-your-childcare-costs-do-you-pay-for-edit	 do you pay the childcare provider with your own money		No Welsh translation found
page.tcs.continuing-with-education-course.selectedCourse.btec	BTEC award, certificate and diploma level 1, 2 or 3		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.partner.radioAnnually	Year		No Welsh translation found
page.tcs.children.disability.change-higher-pip.header	Does {0} get the enhanced rate of Personal Independence Payment’s daily living component?		No Welsh translation found
page.tcs.childcare.childDisability.do_you_get_dla	Do you get disability living allowance		No Welsh translation found
page.changeworkinghours.cantcontinue.text.p1	Do not change your working hours if you are on temporary leave. You will qualify for Working Tax Credit if you worked the right number of hours before you went on leave.		No Welsh translation found
page.tcs.workandhours.howmanyhours.partner.p4	Enter how many hours they work each week.		No Welsh translation found
page.tcs.workandhours.previous-employment-summary.partner.previousEmployerName	What was the name of {0}’s previous employer?		No Welsh translation found
page.tcs.renewals.changes_other.started.li2	Attendance Allowance		No Welsh translation found
page.tcs.children.add-a-child.child.will.be.on.your.claim.until.31.august.age.19.pt2	You can only claim tax credits for {0} after 31&nbsp;August&nbsp;{1} if they accepted their place on the course before their 19th birthday.		No Welsh translation found
page.tcs.workandhours.change-to-partner-employment.link.start_job	Partner started an employed job		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.change_personal_address_other	You changed your address		No Welsh translation found
page.tcs.workandhours.howmanyhours.p1	Term-time only workers		No Welsh translation found
page.tcs.workandhours.previous_employer_name.last_job.invalidLength	Name of your last employer must be between 2 and 56 characters		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p1.PROCESSING	This should be finished by {0}.		No Welsh translation found
page.renewals.renewals_homepage.joint.h1.no_dates	Report changes to you and your partner's personal circumstances during your award period		No Welsh translation found
page.renewals.renewals_homepage.finished_changes	I have finished all my changes		No Welsh translation found
page.tcs.continuing-with-education-course.selectedCourse.traineeships	traineeships in England		No Welsh translation found
page.tcs.changes_other.illness.h1	Ill or in hospital for more than 28 weeks		No Welsh translation found
page.tcs.workandhours.deductions.partner.fees.enterAmount	Enter Amount		No Welsh translation found
page.tcs.child-exception-acknowledgement.p1	Child Tax Credit is divided into different elements. You will only get the child element for more than 2 children if they were born:		No Welsh translation found
page.tcs.children.add-a-child.ringus.applied_to_army.button	Go back to children and childcare		No Welsh translation found
page.tcs.change.childcare.next.provider.p3	how much you pay them		No Welsh translation found
page.tcs.workandhours.previousworkenddate.header	When did your job at {0} end?		No Welsh translation found
dashboard.viewchangedetails.yourpartner.other_options	Other options		No Welsh translation found
page.tcs.childcare.confirm-your-answers.how-much-will-you-pay	How much did or will you pay {0} between {1} and {2}?		No Welsh translation found
page.tcs.changes_other.started.h1	Started receiving a benefit		No Welsh translation found
page.tcs.renewals.changes_other.li3	living abroad or left the UK		No Welsh translation found
page.tcs.change-received-acknowledgement.4weekly	every 4 weeks		No Welsh translation found
page.tcs.children.removeachild.reasonforleaving.length	You can include up to 1,800 characters		No Welsh translation found
dashboard.your-tax-credits.renewal-status.button.COMPLETE	Complete your declaration again		No Welsh translation found
page.tcs.workandhours.amendajob.partner.jobStartedDate.errorEmpty	Enter the date your partner’s working hours changed		No Welsh translation found
dashboard.viewchangedetails.you.name	Name		No Welsh translation found
site.summary.edit	Edit		No Welsh translation found
page.tcs.acknowledgement.sms_text_has_number	If you (or your partner if this is a joint claim) has a mobile number on the claim, we will send you a text message to confirm we have received your changes. When your claim has been updated we will send you another message.		No Welsh translation found
page.tcs.workandhours.previousjobsendedcontext.intro.header	You do not need to tell us about income from this job		No Welsh translation found
page.tcs.workandhours.incomechangeselfemployedprofit.error.mandatory	Enter your self-employed profit for the current tax year		No Welsh translation found
page.tcs.children.change-childs-details-ever-been-certified-blind.header	Has {0} ever been certified blind?		No Welsh translation found
page.renewals.renewals_homepage.employment.change_end_selfemployed_work	Ended self-employed work		No Welsh translation found
page.tcs.childcare.short.term.calculation.summary.table4	How much you will pay {0} between {1} and {2}		No Welsh translation found
page.tcs.workandhours.howmanyjobs.jobsradiolist.option1	1		No Welsh translation found
page.tcs.workandhours.deductions.partner.flatRateExpenses	Buy or repair special clothing or tools needed for their job		No Welsh translation found
page.tcs.personal.changeyourpartnersname.edit	if you want to change your partner’s name		No Welsh translation found
page.tcs.childcare.changechildcare.do-you-have-childcare.yes-or-no.error-empty	Select yes if you still pay {0} with your own money		No Welsh translation found
page.tcs.children.add-a-child.does-child-study-approved-course.title	Does or will the child study an approved course?		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.radioWeekly	Week		No Welsh translation found
dashboard.account-summary.view	View and change details		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.jobStartedDate.empty	Enter the date the job started		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.other_illness	You were ill or in hospital for more than 28 weeks		No Welsh translation found
page.tcs.workandhours.previous_employer_name.partner.invalidLength	{0}’s employer’s name must be between 2 and 56 characters		No Welsh translation found
page.tcs.children.training.stayingintheuk.required	Tell us if they are staying in the United Kingdom		No Welsh translation found
page.tcs.children.training.dotheyhaveajob.required	Tell us if this young person has a job?		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.remove_a_child	You removed a child		No Welsh translation found
page.tcs.wtc.payments.ga.one-off-payment-event-label	One off payment		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.partner.helptext	We will use this information to work out a more accurate estimate.		No Welsh translation found
page.tcs.changes_other.stopped.p2	The benefits you need to tell us about are:		No Welsh translation found
page.tcs.children.changeachilddisabilitystatus.service_title	Change child’s disability status		No Welsh translation found
page.tcs.children.removeachild.firstname.empty	Enter the child’s first and middle names		No Welsh translation found
page.tcs.change-bank-details.where_will_i_find.intro	You can find your sort code and account number on your:		No Welsh translation found
page.tcs.addchildcare.childcare-how-much-normally-you-pay.future.title	How much do you pay the childcare provider?		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.working_on_change	We expect to get this change done by {0}.		No Welsh translation found
page.tcs.workandhours.startajobhadotherpreviousjobs.previousJobsText	You told us about {0}.		No Welsh translation found
dashboard.your-tax-credits.next-payments.title	Your next payments		No Welsh translation found
page.tcs.personal.change_relationship_status.single.service_title	Do you live with your partner?		No Welsh translation found
page.tcs.workandhours.deductions.fees.enterAmount	Enter Amount		No Welsh translation found
page.tcs.children.change-childs-details-when-was-certified-blind-hidden-edit	 when {0} was certified blind		No Welsh translation found
page.tcs.workandhours.startajobhavepartnerbenefitsended.noneSelected	Select yes if {0}’s benefit has ended or it is expected to end		No Welsh translation found
page.tcs.children.disability.change-higher-dla.header	Does {0} get the highest rate of Disability Living Allowance’s care component?		No Welsh translation found
page.tcs.children.add-a-child.when-did-child-leave-course-header	When did {0} leave their course?		No Welsh translation found
page.tcs.workandhours.howmanyhours.selfemployed.p5	Not sure about your normal hours		No Welsh translation found
page.tcs.children.add-a-child.ineligible.payment-p1	 You said you get "any other money" from your local council for {0}.		No Welsh translation found
page.tcs.workandhours.employer_details.addressLine2-empty	Enter the employer’s address line 2		No Welsh translation found
page.tcs.continuing-with-education-course.alternativeCourse.helptext	Give details, include name and qualification		No Welsh translation found
page.tcs.children.training.lastname.required	Enter the child’s last name		No Welsh translation found
page.tcs.child-exception-acknowledgement.p1.bullet1	before 6 April 2017		No Welsh translation found
page.tcs.workandhours.employed-summary.self-employed-earnings	How much self-employed profit do you expect to make between {0} and {1}?		No Welsh translation found
page.tcs.workandhours.isthispermanentwork.partner.expectedEndDate.mustBeFuture	End date must be in the future		No Welsh translation found
page.questionnaire.signed_out	You are signed out		No Welsh translation found
page.tcs.workandhours.employer_name.current_job.service_title	What is the name of the employer already on your claim?		No Welsh translation found
page.changeworkinghours.cantcontinue.title	When to make changes to your working hours		No Welsh translation found
page.tcs.workandhours.howmanyhours.selfemployed.partner.service_header	How many self&#8209;employed hours a week does {0} normally work?		No Welsh translation found
page.tcs.workandhours.amendajob.jobStartedDate	Date job started		No Welsh translation found
page.tcs.workandhours.howmanyjobs.title	 How many jobs do you have now?		No Welsh translation found
page.tcs.workandhours.previousjobs.intro.partner.p2	You may need their P45 or last payslip from any jobs that have ended since {0}.		No Welsh translation found
page.tcs.workandhours.self-employed-summary.howmanyjobs.partner	How many jobs does {0} have now?		No Welsh translation found
page.tcs.wtc.ctc-payments.your-tax-credits-payment.survey-link	Help us improve this page by filling in a short survey (takes 30 seconds)		No Welsh translation found
page.renewals.make_more_changes.yes	I have more changes to report		No Welsh translation found
page.renewals.renewals_homepage.children.change.end_education	Child has started or ended education or training		No Welsh translation found
page.questionnaire.how_easy_was_the_service_to_use	How easy was the service to use?		No Welsh translation found
page.tcs.renewals.changes_other.stopped.li1	Armed Forces Independence Payment		No Welsh translation found
page.tcs.addchildcare.provider.address.line1.error-length	Address line 1 must only include letters a to z, numbers 0 to 9, spaces, commas, full stops, hyphens, apostrophes, ampersands and round brackets		No Welsh translation found
page.tcs.renewals.changes_other.service_title	Report any other changes		No Welsh translation found
page.tcs.workandhours.employer_name.new_job.label	What is the name of your new employer?		No Welsh translation found
dashboard.your-tax-credits.renewal-status.title.MUSTRENEWNOW	Renew your tax credits now		No Welsh translation found
page.tcs.children.add-a-child.dygd.header	Does {0} get one of these disability benefits?		No Welsh translation found
page.tcs.childcare.changechildcare.not-suitable-no-eligible-different-amounts.link.text	to change how much you pay {0}.		No Welsh translation found
page.tcs.workandhours.startajob.employerAddress.help	Leave blank if self-employed		No Welsh translation found
dashboard.viewchangedetails.you.benefits.started.link	Started receiving a benefit		No Welsh translation found
page.tcs.childcare.remove.provider.summary.page.name	Name		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p1.AUTONOTSTARTED	Your claim will be automatically renewed unless you need to report changes to the details in your renewal pack		No Welsh translation found
page.tcs.continuing-with-training-course.selectedCourse.trainingforsuccess	Training for Success in Northern Ireland		No Welsh translation found
page.tcs.workandhours.deductions.partner.additionalPensionsAmount.helptext2	Do not include amounts paid into an occupational pension scheme (where their employer took the pension contributions from their pay before deducting tax).		No Welsh translation found
page.tcs.changes_other.stopped.li6	Employment and Support Allowance (contributions-based)		No Welsh translation found
page.tcs.workandhours.previousjobsendedcontext.intro.header.partner	You do not need to tell us about income from this job		No Welsh translation found
page.tcs.children.add-a-child.does-everyone-live-in-the-uk.title	Does everyone on your claim live in the UK?		No Welsh translation found
page.tcs.Addchildcare.not-suitable-no-eligible-children.p3	If the childcare is for a different child, you need to add them to your claim and start getting Child Tax Credits for them before you can get help with your childcare costs.		No Welsh translation found
page.tcs.children.changeachildname.do-you-need-change-name.p1	Change {0}’s name if they:		No Welsh translation found
page.tcs.workandhours.deductions.partner.helptext	Any amounts you enter below will reduce your partner’s estimated earnings for the tax year, {0} to {1}, and could increase the payments your household is entitled to.		No Welsh translation found
page.tcs.personal.addresschange.isAddressWithinTheUk.empty	Tell us if your new address is in the United Kingdom		No Welsh translation found
page.tcs.workandhours.deductions.sharedParental	Statutory Shared Parental Pay		No Welsh translation found
page.tcs.workandhours.changeworkinghours.amount.title	How many hours a week do you work in all jobs?		No Welsh translation found
page.tcs.workandhours.startajobemployed.partner.service_title	Your partner started a job		No Welsh translation found
page.tcs.workandhours.hasmadeprofit.partner.header	Does {0} expect to make a profit between <span class="one-liner">{1}</span> and <span class="one-liner">{2}</span>?		No Welsh translation found
page.tcs.fallout.user-abort.service_title	You have not provided enough information		No Welsh translation found
page.tcs.childcare.averageWeeklyCost.empty	Enter the average amount you pay for childcare each week		No Welsh translation found
page.tcs.online-service-unavailable.link	https://www.gov.uk/government/organisations/hm-revenue-customs/contact/tax-credits-enquiries		No Welsh translation found
page.tcs.change-bank-details.summary.change-this	Edit your bank details		No Welsh translation found
children.weeks	 {0} weeks old		No Welsh translation found
page.tcs.personal.no_change_relationship.continue	Go back to personal details		No Welsh translation found
page.tcs.childcare.provider-notification.p3	when you started paying them that amount		No Welsh translation found
page.tcs.change-bank-details.is_new_account_held_in_the_uk	Is the new account held in the United Kingdom?		No Welsh translation found
page.tcs.childcare.confirm-your-answers.how-much-of-your-childcare-costs-do-you-pay-for	Do you pay the childcare provider with your own money?		No Welsh translation found
page.tcs.workandhours.earnings_calculator.amountPaid.month.label	How much do you get paid a month?		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.partner.amountPaid.invalid	Enter a valid amount		No Welsh translation found
page.tcs.renewals.changes_other.prison.li4	how long sentences are		No Welsh translation found
page.tcs.reportdeath.nmvp.contactname	Who can we contact if we need more information?		No Welsh translation found
page.tcs.workandhours.changenumberofjobs.summary.change-this	Edit number of jobs		No Welsh translation found
page.tcs.children.add-a-child.confirm-answers.whotoadd	Who do you want to add to your claim?		No Welsh translation found
page.tcs.children.removeachild.firstname.invalidLength	First and middle names must be 35 characters or less		No Welsh translation found
page.tcs.workandhours.startajobemployed.jobToLastMoreThanFourWeek-empty	Select yes if you expected the job to last more than 4 weeks		No Welsh translation found
page.renewals.renewals_homepage.other.heading	Other changes		No Welsh translation found
page.tcs.childcare.changechildcare.when-did-you-start-paying.error-empty	Enter the date you did or will change what you pay {0}		No Welsh translation found
page.tcs.children.changeachildname.dateofbirth.invalid	Enter the child’s date of birth		No Welsh translation found
dashboard.viewchangedetails.you.phone	Telephone numbers		No Welsh translation found
page.tcs.fallout.user-abort.back_to_confirm_identity	Back to confirm your identity		No Welsh translation found
page.tcs.workandhours.all-income-summary.employed	Employed earnings		No Welsh translation found
page.tcs.personal.has_relationship_changed.list_tem2	your payments will stop		No Welsh translation found
page.tcs.workandhours.startajobemployed.you.employerAddress	What was your employer’s address?		No Welsh translation found
page.tcs.childcare.other-provider.yes-or-no.error-empty	Select yes if your children are cared for by other childcare providers		No Welsh translation found
page.renewals.renewals_homepage.employment.change_partner_hours_worked	Change number of hours your partner worked in a week		No Welsh translation found
page.tcs.childcare.confirm-your-answers.how-many-times-a-year-do-you-pay	How many times a year do you pay {0} {1}?		No Welsh translation found
page.tcs.children.add-a-child.education-training-careers.title	Education, training and careers		No Welsh translation found
page.tcs.workandhours.deductions.partner.paternityAmount.helptext2	For example, if they got &pound;139 for 2 weeks, enter &pound;200.		No Welsh translation found
page.tcs.workandhours.earnings_calculator.partner.expectedEndDate	When will this work end?		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare.title	You cannot add the childcare provider to your claim		No Welsh translation found
page.tcs.workandhours.startjobdate.previous.partner.header	When did {0}’s job at {1} start?		No Welsh translation found
page.tcs.children.changeachildwherelivedate.title	Date stopped living with you		No Welsh translation found
page.tcs.workandhours.amendajob.employmentCountry	Country of employment		No Welsh translation found
page.tcs.workandhours.howmanyjobs.partner.title	 How many jobs does your partner have now?		No Welsh translation found
page.tcs.children.changeachilddisabilitystatus.firstname-help	The child’s first and middle names should be as they are shown on their birth certificate.		No Welsh translation found
page.tcs.workandhours.employer_details.addressLine1-invalid-length	Address line 1 must contain 35 characters or less		No Welsh translation found
page.tcs.workandhours.startajob.jobToLastMoreThanFourWeek-empty	Tell us if the job is expected to last at least 4 weeks		No Welsh translation found
page.tcs.childcare.changechildcare.weekly-calculation.h1	How much you pay {0} a week		No Welsh translation found
page.tcs.childcare.provider.address.postcode.error-empty	Enter the provider’s postcode		No Welsh translation found
page.tcs.childcare.confirm-your-answers.childcare-end-before-start-date-plus-70-day	Did or will you stop paying {0} before {1}?		No Welsh translation found
page.tcs.workandhours.changenumberofhours.numberofhours	How many hours do you now work in all jobs?		No Welsh translation found
page.tcs.partner-details.firstName	What is your partner’s first name?		No Welsh translation found
page.tcs.workandhours.startajobemployed.receivingWTC.error	Select yes if you already get Working Tax Credit		No Welsh translation found
page.tcs.workandhours.startajobemployed.paymentdetails.youOrPartnerPaidWTC.radio.you	You		No Welsh translation found
page.tcs.children.change-childs-details.education-and-training.link	Over 16s: education and training changes		No Welsh translation found
page.tcs.workandhours.previous-employment-summary.partner.previous.previousJobs	Previous job at {1}		No Welsh translation found
page.tcs.renewals.changes_other.started.li8	Incapacity Benefit		No Welsh translation found
page.tcs.workandhours.employer_details.addressLine2-invalid-length	Address line 2 must contain 35 characters or less		No Welsh translation found
page.tcs.workandhours.employed-summary.employersaddress.vh	the name and address of your new employer		No Welsh translation found
page.tcs.childcare.confirm-your-answers.some-thing-different-edit	do you ever pay {0} something different than {1}		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.previous.partner.service_title	Estimated earnings from {0}		No Welsh translation found
page.tcs.workandhours.howmanyhours.p5	Employment agency workers		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare-incapacitated.title	You cannot add the childcare provider to your claim		No Welsh translation found
page.tcs.personal.addresschange.address	New address		No Welsh translation found
page.tcs.children.changeachildwherelivedate.header	When did {0} stop living with you?		No Welsh translation found
page.tcs.childcare.confirm-your-answers.do-you-know-when-the-childcare-will-or-did-end-edit	 if you know when you did or will stop paying {0}		No Welsh translation found
page.tcs.children.add-a-child.ineligible.button-text	Go back to children and childcare		No Welsh translation found
page.tcs.addchildcare.childcare-how-much-normally-you-pay.error-empty	Enter how much you normally pay {0} {1}		No Welsh translation found
page.tcs.children.change-childs-details-get-enhanced-rate-pip--mobility-component-hidden-edit-confirm-answers	if {0} gets the enhanced rate of Personal Independence Payment’s daily living component		No Welsh translation found
page.tcs.fallout.user-abort.p3	If you want to tell us about a change call the		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare.phone.not-suitable-no-wtc.link.text	if you think you are eligible to get Working Tax Credit.		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.previous.partner.weeksBetween.value	{0}		No Welsh translation found
page.tcs.workandhours.endedajob.link_text	Job has ended		No Welsh translation found
page.tcs.children.educationandtraining.datestartedfulltimenonadveducation.helptext	For example, 31 3 2015		No Welsh translation found
page.tcs.children.changeachilddob.title	What is the child’s date of birth?		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.estimateMethod	Do you want to base your estimate on how much you earned an hour, week, month or year?		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.partner.service_title	Partner started self-employed work		No Welsh translation found
page.tcs.children.add-a-child.did-child-have-illness-that-stopped-starting-course.header	Did {0} have an illness or disability that stopped them from starting the course sooner?		No Welsh translation found
page.tcs.personal.changeyourname.edit	if you want to change your name		No Welsh translation found
error.currency	Enter an amount		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.weeksBetween.label	Weeks between <span class="one-liner">{0}</span> and <span class="one-liner">{1}</span>		No Welsh translation found
page.tcs.workandhours.startajobemployed.invalid_date	Date must be in format dd/mm/yyyy		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.partner.radioMonthly	Month		No Welsh translation found
page.address-lookup.notfound	Address not found – enter a different postcode or house name or number, or select type in your address		No Welsh translation found
page.tcs.children.add-a-child.ineligible.armed-forces.u3	registered with Connexions or a local careers or support service		No Welsh translation found
page.tcs.childcare.do-you-have-childcare.title	Do you have children in childcare?		No Welsh translation found
page.tcs.personal.changeUKAddress.postcode.helptext	Postcode		No Welsh translation found
page.tcs.workandhours.changejobs.whatdoyouneedtodo.link1	Change working hours		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.totalWeeklyHours.error	Your entry for number of hours worked must be between 1 and 99		No Welsh translation found
page.tcs.addchildcare.is-childcare-approved.scottish-care	Scottish Care Inspectorate		No Welsh translation found
page.tcs.childcare.confirm-your-answers.how-often-do-you-pay	How often do you pay {0}?		No Welsh translation found
page.tcs.workandhours.howmanyhours.helptext	If your hours change every week, enter the number of hours you normally work.		No Welsh translation found
page.tcs.personal.contact_tax_credit_helpline.link.aria-label	call the tax credit helpline (opens in the same window or tab)		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.typeOfWork.error	Enter the kind of work you did		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.partner.hoursWorked.label	Hours {0} works a week		No Welsh translation found
page.tcs.renewals.children.add-a-child.date-of-birth-help-text	For example, 31 03 2000		No Welsh translation found
page.tcs.workandhours.previous_employer_name.last_job.partner.service_title	What was the name of your partner’s last employer?		No Welsh translation found
page.tcs.workandhours.stillhaveajob.self-employed.error.notselected	Select yes if you are still self-employed		No Welsh translation found
page.tcs.partner-details.title	About your partner		No Welsh translation found
page.tcs.workandhours.earnings_calculator.radioAnnually	Year		No Welsh translation found
page.tcs.wtc.ctc-payments.your-tax-credits-payment.ftnae.p2	This should be completed by {0}.		No Welsh translation found
page.tcs.addchildcare.is-childcare-approved.ofsted	Ofsted, an Ofsted-registered childminding agency, or the Department for Education in England		No Welsh translation found
page.tcs.workandhours.earnings_calculator.amountPaid.week.label	How much do you get paid a week?		No Welsh translation found
page.tcs.workandhours.deductions.statutoryAdoption	Statutory Adoption Pay		No Welsh translation found
